,Country,Country_Code,c_total,c_avg
110,Seychelles,SYC,458712.1237498115,1193.7240134618617
111,Turks and Caicos Islands,TCA,16838790.020714987,1107.1146613374542
112,Wallis and Futuna,WLF,34563.46244095353,1253.9234479865772
113,Samoa,WSM,243564.94674231618,1052.5726176236044
114,Togo,TGO,50513.41203749277,1067.7718313373252
115,Thailand,THA,353584259.3302546,1410.6119727047726
116,Timor-Leste,TLS,1243282.0694930516,1186.1573326155255
117,Tonga,TON,1125436.6908791515,1079.233217889516
118,Trinidad and Tobago,TTO,10162044.28208198,1240.8702877550088
119,British Virgin Islands,VGB,85141.31493734712,870.6366359447005
120,"Virgin Islands, U.S.",VIR,218322.47837746952,839.2433020180932
121,South Africa,ZAF,2569634.090260611,972.0090136981876
