,Country,Country_Code,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
87,Iran,IRN,1.0,0.0,0.0,0.0,0.0,0.0
88,Sudan,SDN,1.0,0.0,0.0,0.0,0.0,0.0
89,Vietnam,VNM,1.0,0.0,0.0,0.0,0.0,0.0
90,Vanuatu,VUT,1.0,0.0,0.0,0.0,0.0,0.0
91,Honduras,HND,1.0,0.0,0.0,0.0,0.0,0.0
92,Sierra Leone,SLE,1.0,0.0,0.0,0.0,0.0,0.0
93,El Salvador,SLV,1.0,0.0,0.0,0.0,0.0,0.0
94,Liberia,LBR,1.0,0.0,0.0,0.0,0.0,0.0
95,Sri Lanka,LKA,1.0,0.0,0.0,0.0,0.0,0.0
96,Cambodia,KHM,1.0,0.0,0.0,0.0,0.0,0.0
97,Kiribati,KIR,1.0,0.0,0.0,0.0,0.0,0.0
98,Saint Kitts and Nevis,KNA,1.0,0.0,0.0,0.0,0.0,0.0
99,Saint-Martin,MAF,1.0,0.0,0.0,0.0,0.0,0.0
100,Madagascar,MDG,1.0,0.0,0.0,0.0,0.0,0.0
101,Maldives,MDV,1.0,0.0,0.0,0.0,0.0,0.0
102,Mexico,MEX,1.0,0.0,0.0,0.0,0.0,0.0
103,Marshall Islands,MHL,1.0,0.0,0.0,0.0,0.0,0.0
104,New Caledonia,NCL,1.0,0.0,0.0,0.0,0.0,0.0
105,Peru,PER,1.0,0.0,0.0,0.0,0.0,0.0
106,Philippines,PHL,1.0,0.0,0.0,0.0,0.0,0.0
107,Palau,PLW,1.0,0.0,0.0,0.0,0.0,0.0
108,Papua New Guinea,PNG,1.0,0.0,0.0,0.0,0.0,0.0
109,Sint Maarten,SXM,1.0,0.0,0.0,0.0,0.0,0.0
110,Seychelles,SYC,1.0,0.0,0.0,0.0,0.0,0.0
111,Turks and Caicos Islands,TCA,1.0,0.0,0.0,0.0,0.0,0.0
112,Wallis and Futuna,WLF,1.0,0.0,0.0,0.0,0.0,0.0
113,Samoa,WSM,1.0,0.0,0.0,0.0,0.0,0.0
114,Togo,TGO,1.0,0.0,0.0,0.0,0.0,0.0
115,Thailand,THA,1.0,0.0,0.0,0.0,0.0,0.0
116,Timor-Leste,TLS,1.0,0.0,0.0,0.0,0.0,0.0
117,Tonga,TON,1.0,0.0,0.0,0.0,0.0,0.0
118,Trinidad and Tobago,TTO,1.0,0.0,0.0,0.0,0.0,0.0
119,British Virgin Islands,VGB,1.0,0.0,0.0,0.0,0.0,0.0
120,"Virgin Islands, U.S.",VIR,1.0,0.0,0.0,0.0,0.0,0.0
121,South Africa,ZAF,1.0,0.0,0.0,0.0,0.0,0.0
