,Country,Country_Code,c_total,c_avg
0,Angola,AGO,1673542.2264254293,59.5764097381795
1,Anguilla,AIA,6.903089959403025,2.122264862060547
2,United Arab Emirates,ARE,25742.345200007712,3.4869315084240995
3,Bahrain,BHR,281.4980107387809,4.745702795748752
4,Bahamas,BHS,806764.7098425116,5.370396369724044
5,Eritrea,ERI,180180.01457022908,24.547301396345482
6,Fiji,FJI,2553389.591948479,52.30904357976677
7,Belize,BLZ,423327.5001715269,8.093471580591002
8,Brunei,BRN,1251653.7649476114,108.9114041151594
9,New Zealand,NZL,1345674.9027220933,45.319087272266486
10,Oman,OMN,1505.1014482169617,10.925122394842798
11,Pakistan,PAK,558474.1349580503,7.183609352113346
12,China,CHN,474544.85509956087,22.957778888717886
13,Côte d'Ivoire,CIV,200423.8717717962,37.37155584886414
14,Cameroon,CMR,17842171.108516306,90.50140094309029
15,Democratic Republic of the Congo,COD,866727.694441295,36.55879077088605
16,Republic of Congo,COG,204683.90480208863,101.9193739978306
17,Senegal,SEN,1628536.9094041009,12.82928281288146
18,Singapore,SGP,33538.64621604388,48.005279117966836
19,Solomon Islands,SLB,4420648.978459428,84.06059769143087
20,Haiti,HTI,117934.1707135758,7.84141474565269
21,Indonesia,IDN,269312114.2900234,92.81630759663288
22,India,IND,11489671.451491488,28.30630257798326
23,Jamaica,JAM,166260.14044616136,17.019906389768593
24,Japan,JPN,59495.785818789445,57.797341523299565
25,Kenya,KEN,1015807.7117541658,18.72644851851949
26,Puerto Rico,PRI,71023.25854831186,8.64778515500396
27,Saint Lucia,LCA,4924.318738102314,30.47131326741862
28,Somalia,SOM,44328.88878460859,12.794589505011709
29,Myanmar,MMR,25900914.399840735,48.370599541825726
30,Martinique,MTQ,47587.67535735697,24.477672761582507
31,Mauritius,MUS,22574.848924733877,57.6440839647948
32,Malaysia,MYS,39362319.008460075,75.368373216112
33,Mayotte,MYT,47329.62954347645,70.07145184524626
34,Nigeria,NGA,31677261.534459192,37.749808507056166
35,Nicaragua,NIC,1746680.0296698925,23.55759113711945
36,São Tomé and Príncipe,STP,6182.236864828968,129.15032087053572
37,Suriname,SUR,2937892.940788446,36.36569311248525
38,French Polynesia,PYF,6309.264415846925,50.63523467416576
39,Qatar,QAT,3593.900334868496,7.849997333570919
40,Saudi Arabia,SAU,59101.722915322825,8.261777355642824
41,Tuvalu,TUV,432.1224375026627,49.92128057065217
42,Taiwan,TWN,5973.622765383101,38.25211615533444
43,Tanzania,TZA,8131242.61326463,74.0697205190376
44,United States,USA,3100525.575006477,13.431232085422918
45,Saint Vincent and the Grenadines,VCT,1027.9166752217668,32.36244419642857
46,Venezuela,VEN,21814673.844246823,76.69868938961311
47,Yemen,YEM,17541.651998190508,12.166317842780629
48,Aruba,ABW,461.53740395780073,10.493090408260812
49,Costa Rica,CRI,1926044.4019429255,52.26982859023512
50,Cuba,CUB,4634800.461891301,13.205456153336332
51,Curaçao,CUW,653.5690030681016,14.565215622169385
52,American Samoa,ASM,2201.9862715094237,68.30112165178572
53,French Southern Territories,ATF,51563.385461316946,76.44365622961513
54,Panama,PAN,10783742.919613864,70.55316818543692
