,Country,Country_Code,c_total,c_avg
112,Wallis and Futuna,WLF,12651.791497229182,458.9906145134228
113,Samoa,WSM,103523.08603080714,483.8522733398016
114,Togo,TGO,8033.4445015808205,412.99522148058253
115,Thailand,THA,77069802.8498981,339.1915967639247
116,Timor-Leste,TLS,368871.339079148,398.13722523851516
117,Tonga,TON,432138.52853063657,456.9843691082202
118,Trinidad and Tobago,TTO,3004287.9041474517,396.77007489341156
119,British Virgin Islands,VGB,28331.337974372058,453.620670995671
120,"Virgin Islands, U.S.",VIR,86411.41357842076,425.7441179750223
121,South Africa,ZAF,712752.4084896416,339.1074075941688
