,Country,Country_Code,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
73,Cayman Islands,CYM,0.99548920848757,0.004510791512429961,0.0,0.0,0.0,0.0
74,Djibouti,DJI,1.0,0.0,0.0,0.0,0.0,0.0
75,Dominica,DMA,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0
76,Dominican Republic,DOM,0.9783288450382723,0.021671154961727654,0.0,0.0,0.0,0.0
77,Ecuador,ECU,1.0,0.0,0.0,0.0,0.0,0.0
78,Guinea,GIN,0.9628952812509745,0.03710471874902553,0.0,0.0,0.0,0.0
79,Guadeloupe,GLP,0.950883562009503,0.04911643799049704,0.0,0.0,0.0,0.0
80,Gambia,GMB,1.0,0.0,0.0,0.0,0.0,0.0
81,Guinea-Bissau,GNB,0.9977005546110445,0.002299445388955558,0.0,0.0,0.0,0.0
82,Equatorial Guinea,GNQ,0.9999925707174829,7.429282517040917e-06,0.0,0.0,0.0,0.0
83,Grenada,GRD,0.9850096711798839,0.014990328820116054,0.0,0.0,0.0,0.0
84,Guatemala,GTM,0.9937068292556596,0.006293170744340401,0.0,0.0,0.0,0.0
85,French Guiana,GUF,0.9984008195427595,0.001599180457240535,0.0,0.0,0.0,0.0
86,Guam,GUM,1.0,0.0,0.0,0.0,0.0,0.0
87,Iran,IRN,1.0,0.0,0.0,0.0,0.0,0.0
88,Sudan,SDN,0.9998716302952503,0.00012836970474967908,0.0,0.0,0.0,0.0
89,Vietnam,VNM,0.8241117081399487,0.1758877877073454,5.041527058379875e-07,0.0,0.0,0.0
90,Vanuatu,VUT,1.0,0.0,0.0,0.0,0.0,0.0
91,Honduras,HND,0.9952999400580975,0.0047000599419024635,0.0,0.0,0.0,0.0
92,Sierra Leone,SLE,0.9834040296924709,0.016595970307529163,0.0,0.0,0.0,0.0
93,El Salvador,SLV,0.9994851770791883,0.0005148229208117788,0.0,0.0,0.0,0.0
94,Liberia,LBR,0.9602705426437128,0.03972945735628721,0.0,0.0,0.0,0.0
95,Sri Lanka,LKA,0.999979247407223,2.0752592777060084e-05,0.0,0.0,0.0,0.0
96,Cambodia,KHM,0.8927349727555844,0.10726502724441553,0.0,0.0,0.0,0.0
97,Kiribati,KIR,1.0,0.0,0.0,0.0,0.0,0.0
98,Saint Kitts and Nevis,KNA,1.0,0.0,0.0,0.0,0.0,0.0
99,Saint-Martin,MAF,1.0,0.0,0.0,0.0,0.0,0.0
100,Madagascar,MDG,1.0,0.0,0.0,0.0,0.0,0.0
101,Maldives,MDV,1.0,0.0,0.0,0.0,0.0,0.0
102,Mexico,MEX,0.992915242347724,0.007083499545688725,8.087828061402431e-07,4.4932378118902393e-07,0.0,0.0
103,Marshall Islands,MHL,1.0,0.0,0.0,0.0,0.0,0.0
104,New Caledonia,NCL,1.0,0.0,0.0,0.0,0.0,0.0
105,Peru,PER,1.0,0.0,0.0,0.0,0.0,0.0
106,Philippines,PHL,0.9293523106408285,0.0706476893591715,0.0,0.0,0.0,0.0
107,Palau,PLW,0.8749172404661016,0.1250827595338983,0.0,0.0,0.0,0.0
108,Papua New Guinea,PNG,0.990300550982648,0.009699449017351997,0.0,0.0,0.0,0.0
109,Sint Maarten,SXM,1.0,0.0,0.0,0.0,0.0,0.0
110,Seychelles,SYC,1.0,0.0,0.0,0.0,0.0,0.0
111,Turks and Caicos Islands,TCA,0.9972868870078488,0.0024865361041556525,0.00011038361210036775,5.809663794756197e-05,2.9048318973780986e-05,2.9048318973780986e-05
112,Wallis and Futuna,WLF,1.0,0.0,0.0,0.0,0.0,0.0
113,Samoa,WSM,1.0,0.0,0.0,0.0,0.0,0.0
114,Togo,TGO,1.0,0.0,0.0,0.0,0.0,0.0
115,Thailand,THA,0.9618877550829487,0.03811224491705138,0.0,0.0,0.0,0.0
116,Timor-Leste,TLS,1.0,0.0,0.0,0.0,0.0,0.0
117,Tonga,TON,1.0,0.0,0.0,0.0,0.0,0.0
118,Trinidad and Tobago,TTO,0.9224476290447721,0.07755237095522796,0.0,0.0,0.0,0.0
119,British Virgin Islands,VGB,1.0,0.0,0.0,0.0,0.0,0.0
120,"Virgin Islands, U.S.",VIR,1.0,0.0,0.0,0.0,0.0,0.0
121,South Africa,ZAF,1.0,0.0,0.0,0.0,0.0,0.0
